Document Title,Authors,Publication Title,Publication Year,Volume,Issue,Start Page,End Page,ISBNs,DOI,Author Keywords,Publisher
Pose Sensing With a Single RFID Tag,J. Liu; S. Chen; M. Chen; Q. Xiao; L. Chen,IEEE/ACM Transactions on Networking,2020,28,5,2023,2036,,10.1109/TNET.2020.3007830,RFID tag;orientation estimation;localization;linear polarization,IEEE
eMUD: Enhanced Manufacturer Usage Description for IoT Botnets Prevention on Home WiFi Routers,S. M. Sajjad; M. Yousaf; H. Afzal; M. R. Mufti,IEEE Access,2020,8,,164200,164213,,10.1109/ACCESS.2020.3022272,Authentication;blockchain;botnet prevention;DDoS;ethereum virtual machine;hyperledger;the IoT;Mirai;manufacturer usage description;OWASP;vulnerabilities,IEEE
Exploiting general purpose hardware in optical access systems [Invited],S. Kim; T. Suzuki; J. Kani; J. Terada,IEEE/OSA Journal of Optical Communications and Networking,2020,12,2,A182,A189,,10.1364/JOCN.12.00A182,,IEEE
Empirical Evaluation of Fault Localisation Using Code and Change Metrics,J. Sohn; S. Yoo,IEEE Transactions on Software Engineering,2021,47,8,1605,1625,,10.1109/TSE.2019.2930977,Fault localisation;SBSE;genetic programming,IEEE
Fine-Grained Dynamic Resource Allocation for Big-Data Applications,L. Baresi; A. Leva; G. Quattrocchi,IEEE Transactions on Software Engineering,2021,47,8,1668,1682,,10.1109/TSE.2019.2931537,Distributed architectures;control theory;quality assurance;batch processing systems,IEEE
A Brain-Media Deep Framework Towards Seeing Imaginations Inside Brains,J. Jiang; A. Fares; S. -H. Zhong,IEEE Transactions on Multimedia,2021,23,,1454,1465,,10.1109/TMM.2020.2999183,EEG;image generation;deep learning;brain-media;bi-directional computation;variant LSTM,IEEE
A Multi-Spiking Neural Network Learning Model for Data Classification,B. E. Yellakuor; A. A. Moses; Q. Zhen; O. E. Olaosebikan; Z. Qin,IEEE Access,2020,8,,72360,72371,,10.1109/ACCESS.2020.2985257,Multi-spiking neural network;supervised learning;temporal coding,IEEE
Adaptive Convolution Local and Global Learning for Class-Level Joint Representation of Facial Recognition With a Single Sample Per Data Subject,M. Yang; W. Wen; X. Wang; L. Shen; G. Gao,IEEE Transactions on Information Forensics and Security,2020,15,,2469,2484,,10.1109/TIFS.2020.2965301,Face recognition;Image representation;Multi-layer neural network,IEEE
Capturing Joint Label Distribution for Multi-Label Classification Through Adversarial Learning,S. Wang; G. Peng; Z. Zheng,IEEE Transactions on Knowledge and Data Engineering,2020,32,12,2310,2321,,10.1109/TKDE.2019.2922603,Multi-label learning;joint label distribution;adversarial learning,IEEE
A Robust Decision-Making Framework Based on Collaborative Agents,J. M. Florez-Lozano; F. Caraffini; C. Parra; M. Gongora,IEEE Access,2020,8,,150974,150988,,10.1109/ACCESS.2020.3016784,Collaborative systems;decision-making;distributed systems;intelligent decision-making;fuzzy systems;multi-agent systems;neural systems;neuroevolution,IEEE
On SDN-Driven Network Optimization and QoS Aware Routing Using Multiple Paths,M. Bagaa; D. L. C. Dutra; T. Taleb; K. Samdanis,IEEE Transactions on Wireless Communications,2020,19,7,4700,4714,,10.1109/TWC.2020.2986408,SDN;cloud networks;QoS;optimization;multi-path routing,IEEE
On-Device Learning Systems for Edge Intelligence: A Software and Hardware Synergy Perspective,Q. Zhou; Z. Qu; S. Guo; B. Luo; J. Guo; Z. Xu; R. Akerkar,IEEE Internet of Things Journal,2021,8,15,11916,11934,,10.1109/JIOT.2021.3063147,Hardware acceleration;neural network design;on-device learning;system implementation;training algorithm optimization,IEEE
VoltJockey: A New Dynamic Voltage Scaling-Based Fault Injection Attack on Intel SGX,P. Qiu; D. Wang; Y. Lyu; R. Tian; C. Wang; G. Qu,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,2021,40,6,1130,1143,,10.1109/TCAD.2020.3024853,Dynamic voltage and frequency scaling (DVFS);hardware fault injection;software-controlled hardware attack;software guard extensions (SGX);voltage manipulation,IEEE
A Formal Approach to Verify Connectivity and Optimize VNF Placement in Industrial Networks,G. Marchetto; R. Sisto; F. Valenza; J. Yusupov; A. Ksentini,IEEE Transactions on Industrial Informatics,2021,17,2,1515,1525,,10.1109/TII.2020.3002816,Industrial network;reachability verification;virtual network embedding (VNE),IEEE
Sniffing Detection Based on Network Traffic Probing and Machine Learning,M. Gregorczyk; P. Żórawski; P. Nowakowski; K. Cabaj; W. Mazurczyk,IEEE Access,2020,8,,149255,149269,,10.1109/ACCESS.2020.3016076,AI;artificial intelligence;ML;machine learning;network security;sniffing;threat detection,IEEE
SBI Model for the Detection of Advanced Persistent Threat Based on Strange Behavior of Using Credential Dumping Technique,N. Mohamed; B. Belaton,IEEE Access,2021,9,,42919,42932,,10.1109/ACCESS.2021.3066289,Attacker;APT;exploit;ATT&CK;dump;Mimikatz and credential dumping,IEEE
A semi-supervised attention model for identifying authentic sneakers,Y. Yang; N. Zhu; Y. Wu; J. Cao; D. Zhan; H. Xiong,Big Data Mining and Analytics,2020,3,1,29,40,,10.26599/BDMA.2019.9020017,sneaker identification;fine-grained classification;multi-instance learning;attention mechanism,TUP
Mining Discriminative K-Mers in DNA Sequences Using Sketches and Hardware Acceleration,A. Saavedra; H. Lehnert; C. Hernández; G. Carvajal; M. Figueroa,IEEE Access,2020,8,,114715,114732,,10.1109/ACCESS.2020.3003918,Discriminative k-mers;heavy hitters;counting sketches;parallel processing;hardware acceleration;field-programmable gate arrays,IEEE
REINFORCE: Achieving Efficient Failure Resiliency for Network Function Virtualization-Based Services,S. G. Kulkarni; G. Liu; K. K. Ramakrishnan; M. Arumaithurai; T. Wood; X. Fu,IEEE/ACM Transactions on Networking,2020,28,2,695,708,,10.1109/TNET.2020.2969961,Network function virtualization (NFV);service function chaining (SFC);network functions (NF);service function chains (SFC);fault-tolerance;availability;resiliency,IEEE
Load Balancing for Stateful Forwarding by Mitigating Heavy Hitters: A Case for Multi-Threaded NDN Software Routers,J. Takemasa; A. Tagami; Y. Koizumi; T. Hasegawa,IEEE Access,2020,8,,155071,155085,,10.1109/ACCESS.2020.3018555,Named data networking;information-centric networking;router architecture;sharding;mutual exclusion,IEEE
Design Optimization for Low-Complexity FPGA Implementation of Symbol-Level Multiuser Precoding,A. Haqiqatnejad; J. Krivochiza; J. C. M. Duncan; S. Chatzinotas; B. Ottersten,IEEE Access,2021,9,,30698,30711,,10.1109/ACCESS.2021.3059936,Constructive interference;convex optimization;downlink multiuser multiple-input single-output (MISO) system;field-programmable gate array (FPGA);hardware description language (HDL);non-negative least squares (NNLS) problem;symbol-level precoding,IEEE
Relation Attention for Temporal Action Localization,P. Chen; C. Gan; G. Shen; W. Huang; R. Zeng; M. Tan,IEEE Transactions on Multimedia,2020,22,10,2723,2733,,10.1109/TMM.2019.2959977,Temporal action localization;relation attention,IEEE
MAC Protocols for Terahertz Communication: A Comprehensive Survey,S. Ghafoor; N. Boujnah; M. H. Rehmani; A. Davy,IEEE Communications Surveys & Tutorials,2020,22,4,2236,2282,,10.1109/COMST.2020.3017393,Terahertz band;terahertz communication network;terahertz technology;terahertz physical layer;terahertz MAC layer;terahertz channel model;terahertz propagation model;terahertz antenna;terahertz transceivers,IEEE
<sc>Trust</sc>: Triangle Counting Reloaded on GPUs,S. Pandey; Z. Wang; S. Zhong; C. Tian; B. Zheng; X. Li; L. Li; A. Hoisie; C. Ding; D. Li; H. Liu,IEEE Transactions on Parallel and Distributed Systems,2021,32,11,2646,2660,,10.1109/TPDS.2021.3064892,GPGPU;triangle counting;graph algorithms;parallel processing,IEEE
"EliMFS: Achieving Efficient, Leakage-Resilient, and Multi-Keyword Fuzzy Search on Encrypted Cloud Data",J. Chen; K. He; L. Deng; Q. Yuan; R. Du; Y. Xiang; J. Wu,IEEE Transactions on Services Computing,2020,13,6,1072,1085,,10.1109/TSC.2017.2765323,Cloud security;searchable encryption;multi-keyword fuzzy search,IEEE
Low Rank Component Induced Spatial-Spectral Kernel Method for Hyperspectral Image Classification,L. Sun; C. Ma; Y. Chen; Y. Zheng; H. J. Shim; Z. Wu; B. Jeon,IEEE Transactions on Circuits and Systems for Video Technology,2020,30,10,3829,3842,,10.1109/TCSVT.2019.2946723,Hyperspectral classification;low rank representation;spatial-spectral kernel;neighborhood identification,IEEE
Novel Deep Learning-Enabled LSTM Autoencoder Architecture for Discovering Anomalous Events From Intelligent Transportation Systems,J. Ashraf; A. D. Bakhshi; N. Moustafa; H. Khurshid; A. Javed; A. Beheshti,IEEE Transactions on Intelligent Transportation Systems,2021,22,7,4507,4518,,10.1109/TITS.2020.3017882,Intelligent transport systems;CAN bus;internet of vehicles;autonomous vehicles;intrusion detection system;deep learning;LSTM;autoencoder,IEEE
Multi-Temporal Ultra Dense Memory Network for Video Super-Resolution,P. Yi; Z. Wang; K. Jiang; Z. Shao; J. Ma,IEEE Transactions on Circuits and Systems for Video Technology,2020,30,8,2503,2516,,10.1109/TCSVT.2019.2925844,Convolutional neural network (CNN);video super-resolution;ultra dense memory block (UDRB);multi-temporal fusion,IEEE
Swarm Relays: Distributed Self-Healing Ground-and-Air Connectivity Chains,V. S. Varadharajan; D. St-Onge; B. Adams; G. Beltrame,IEEE Robotics and Automation Letters,2020,5,4,5347,5354,,10.1109/LRA.2020.3006793,Swarms;multi-robot systems;distributed robot systems;distributed connectivity control,IEEE
Semi-Supervised Feature Selection via Sparse Rescaled Linear Square Regression,X. Chen; G. Yuan; F. Nie; Z. Ming,IEEE Transactions on Knowledge and Data Engineering,2020,32,1,165,176,,10.1109/TKDE.2018.2879797,Feature selection;semi-supervised feature selection;sparse feature selection;least square regression,IEEE
Cooperative Caching in Vehicular Content Centric Network Based on Social Attributes and Mobility,L. Yao; Y. Wang; X. Wang; G. WU,IEEE Transactions on Mobile Computing,2021,20,2,391,402,,10.1109/TMC.2019.2944829,Social similarity;mobility prediction;cooperative caching;VCCN,IEEE
Hyperspectral Band Selection Using Attention-Based Convolutional Neural Networks,P. Ribalta Lorenzo; L. Tulczyjew; M. Marcinkiewicz; J. Nalepa,IEEE Access,2020,8,,42384,42403,,10.1109/ACCESS.2020.2977454,Attention mechanism;band selection;classification;convolutional neural network;deep learning,IEEE
Learning Long-Term Temporal Features With Deep Neural Networks for Human Action Recognition,S. Yu; L. Xie; L. Liu; D. Xia,IEEE Access,2020,8,,1840,1850,,10.1109/ACCESS.2019.2962284,Action recognition;residual learning;recurrent neural networks;long short-term memory (LSTM),IEEE
Coverage Guided Differential Adversarial Testing of Deep Learning Systems,J. Guo; Y. Zhao; H. Song; Y. Jiang,IEEE Transactions on Network Science and Engineering,2021,8,2,933,942,,10.1109/TNSE.2020.2997359,Deep learning;dependability;adversarial testing;neuron coverage.,IEEE
Optimal Discriminative Projection for Sparse Representation-Based Classification via Bilevel Optimization,G. Zhang; H. Sun; Y. Zheng; G. Xia; L. Feng; Q. Sun,IEEE Transactions on Circuits and Systems for Video Technology,2020,30,4,1065,1077,,10.1109/TCSVT.2019.2902672,Sparse representation;discriminative projection;bilevel optimization;dictionary learning,IEEE
An Efficient Spam Detection Technique for IoT Devices Using Machine Learning,A. Makkar; S. Garg; N. Kumar; M. S. Hossain; A. Ghoneim; M. Alrashoud,IEEE Transactions on Industrial Informatics,2021,17,2,903,912,,10.1109/TII.2020.2968927,Communication system security;Internet of Things (IoT);machine learning,IEEE
Dynamic Resource Provisioning With Fault Tolerance for Data-Intensive Meteorological Workflows in Cloud,X. Xu; R. Mo; F. Dai; W. Lin; S. Wan; W. Dou,IEEE Transactions on Industrial Informatics,2020,16,9,6172,6181,,10.1109/TII.2019.2959258,Cloud computing;fault tolerance;meteorological workflow;nondominated sorting genetic algorithm (NSGA)-II,IEEE
Intensional Learning to Efficiently Build Up Automatically Annotated Emotion Corpora,L. Canales; C. Strapparava; E. Boldrini; P. Martínez-Barco,IEEE Transactions on Affective Computing,2020,11,2,335,347,,10.1109/TAFFC.2017.2764470,Affective computing;corpora annotation;sentiment analysis;textual emotion recognition,IEEE
Energy-Efficient and Delay-Minimizing Charging Method With a Multiple Directional Mobile Charger,C. Lee; W. Na; G. Jang; C. Lee; S. Cho,IEEE Internet of Things Journal,2021,8,10,8291,8303,,10.1109/JIOT.2020.3044684,Directional wireless power transfer (WPT);mobile charger (MC);wireless power transfer;wireless rechargeable Internet-of-Things (IoT) networks;wireless rechargeable sensor networks,IEEE
A Hybrid Capsule Network for Land Cover Classification Using Multispectral LiDAR Data,Y. Yu; H. Guan; D. Li; T. Gu; L. Wang; L. Ma; J. Li,IEEE Geoscience and Remote Sensing Letters,2020,17,7,1263,1267,,10.1109/LGRS.2019.2940505,Capsule network;feature image;land cover classification;multispectral light detection and ranging (LiDAR);point cloud,IEEE
CVTM: A Content-Venue-Aware Topic Model for Group Event Recommendation,Y. Du; X. Meng; Y. Zhang,IEEE Transactions on Knowledge and Data Engineering,2020,32,7,1290,1303,,10.1109/TKDE.2019.2904066,Group recommendation;probabilistic generative model;event recommendation;event-based social networks,IEEE
Domain Adaptation by Joint Distribution Invariant Projections,S. Chen; M. Harandi; X. Jin; X. Yang,IEEE Transactions on Image Processing,2020,29,,8264,8277,,10.1109/TIP.2020.3013167,L²-distance;dimensionality reduction;domain adaptation;joint distribution matching;Riemannian optimization,IEEE
A Dual Frequency Tuning Method for Improved Coupling Tolerance of Wireless Power Transfer System,Z. Liu; M. Su; Q. Zhu; L. Zhao; A. P. Hu,IEEE Transactions on Power Electronics,2021,36,7,7360,7365,,10.1109/TPEL.2020.3043784,Coupling tolerance;dual-frequency tuning;hybrid compensation;square wave excitation;wireless power transfer (WPT),IEEE
Weighted LIC-Based Structure Tensor With Application to Image Content Perception and Processing,Y. Zheng; Y. Sun; K. Muhammad; V. H. C. de Albuquerque,IEEE Transactions on Industrial Informatics,2021,17,3,2250,2260,,10.1109/TII.2020.2980577,Industrial intelligence;nonlocal structure tensor;tensor field regularization;visual information perception,IEEE
CATTmew: Defeating Software-Only Physical Kernel Isolation,Y. Cheng; Z. Zhang; S. Nepal; Z. Wang,IEEE Transactions on Dependable and Secure Computing,2021,18,4,1989,2004,,10.1109/TDSC.2019.2946816,Rowhammer;physical domain isolation;physical kernel isolation;double-owned buffer;memory ambush,IEEE
Deadline Constrained Video Analysis via In-Transit Computational Environments,A. R. Zamani; M. Zou; J. Diaz-Montes; I. Petri; O. Rana; A. Anjum; M. Parashar,IEEE Transactions on Services Computing,2020,13,1,59,72,,10.1109/TSC.2017.2653116,Edge computing;in-transit;software-defined networks;video analysis;cloud federation;CometCloud,IEEE
Detecting Saturation Attacks Based on Self-Similarity of OpenFlow Traffic,Z. Li; W. Xing; S. Khamaiseh; D. Xu,IEEE Transactions on Network and Service Management,2020,17,1,607,621,,10.1109/TNSM.2019.2959268,Software-defined networking;security;saturation attack;anomaly detection;self-similar characteristic of OpenFlow traffic,IEEE
Link-Signature-Based Discriminatory Channel Estimation (LS-DCE) for Physical Layer Security in Stationary and Mobile OFDM Transceivers,A. Albehadili; K. A. Al Shamaileh; A. Y. Javaid; V. K. Devabhakuni,IEEE Transactions on Vehicular Technology,2020,69,8,8119,8131,,10.1109/TVT.2020.2995540,Correlated multipath fading;link-signature-based discriminatory channel estimation (LS-DCE);orthogonal frequency division multiplexing (OFDM);physical layer security (PLS);Software-defined radio (SDR);space-time correlation,IEEE
An Indirect Controller-Legacy Switch Forwarding Scheme for Link Discovery in Hybrid SDN,M. W. Hussain; K. H. K. Reddy; J. J. P. C. Rodrigues; D. S. Roy,IEEE Systems Journal,2021,15,2,3142,3149,,10.1109/JSYST.2020.3011902,Control plane;hybrid software-defined networking (h-SDN);OpenFlow (OF);software-defined networking (SDN);topology discovery,IEEE
Checking is Believing: Event-Aware Program Anomaly Detection in Cyber-Physical Systems,L. Cheng; K. Tian; D. D. Yao; L. Sha; R. A. Beyah,IEEE Transactions on Dependable and Secure Computing,2021,18,2,825,842,,10.1109/TDSC.2019.2906161,Cyber-physical systems;data-oriented attacks;program anomaly detection;cyber-physical execution semantics,IEEE
Network Function Decomposition and Offloading on Heterogeneous Networks With Programmable Data Planes,D. Moro; G. Verticale; A. Capone,IEEE Open Journal of the Communications Society,2021,2,,1874,1885,,10.1109/OJCOMS.2021.3101366,Network function virtualization;software defined networking;programmable networks,IEEE
Automatic Management of <italic>N</italic> × <italic>N</italic> Photonic Switch Powered by Machine Learning in Software-Defined Optical Transport,I. Khan; L. Tunesi; M. U. Masood; E. Ghillino; P. Bardella; A. Carena; V. Curri,IEEE Open Journal of the Communications Society,2021,2,,1358,1365,,10.1109/OJCOMS.2021.3085678,Machine learning;optical switches;photonic integrated circuits;silicon photonics;microring resonators,IEEE
OMNI: A Framework for Integrating Hardware and Software Optimizations for Sparse CNNs,Y. Liang; L. Lu; J. Xie,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,2021,40,8,1648,1661,,10.1109/TCAD.2020.3023903,Accelerator;CNN;FPGA;NAS;sparse,IEEE
A Machine Learning-Based Intrusion Detection System for Securing Remote Desktop Connections to Electronic Flight Bag Servers,R. Bitton; A. Shabtai,IEEE Transactions on Dependable and Secure Computing,2021,18,3,1164,1181,,10.1109/TDSC.2019.2914035,Anomaly detection;Network-based intrusion detection system (NIDS);machine learning;Remote desktop;Electronic flight bag,IEEE
Full-Duplex UAV Relaying for Multiple User Pairs,B. Li; S. Zhao; R. Zhang; L. Yang,IEEE Internet of Things Journal,2021,8,6,4657,4667,,10.1109/JIOT.2020.3027621,Full-duplex (FD) relaying;multiple source–destination pairs;time-division multiple access (TDMA);unmanned aerial vehicle (UAV) trajectory scheduling;UAV,IEEE
Forward Private Searchable Symmetric Encryption with Optimized I/O Efficiency,X. Song; C. Dong; D. Yuan; Q. Xu; M. Zhao,IEEE Transactions on Dependable and Secure Computing,2020,17,5,912,927,,10.1109/TDSC.2018.2822294,Searchable encryption;symmetric primitives;forward privacy;I/O efficiency,IEEE
A Resource-Constrained and Privacy-Preserving Edge-Computing-Enabled Clinical Decision System: A Federated Reinforcement Learning Approach,Z. Xue; P. Zhou; Z. Xu; X. Wang; Y. Xie; X. Ding; S. Wen,IEEE Internet of Things Journal,2021,8,11,9122,9138,,10.1109/JIOT.2021.3057653,Additively homomorphic encryption;clinical decision support system;federated deep reinforcement learning (RL);Internet-of-Things-enabled E-health (IoT-Ehealth);mobile-edge computing (MEC),IEEE
Exploiting Dissent: Towards Fuzzing-Based Differential Black-Box Testing of TLS Implementations,A. Walz; A. Sikora,IEEE Transactions on Dependable and Secure Computing,2020,17,2,278,291,,10.1109/TDSC.2017.2763947,TLS;network security;cryptographic protocols;fuzzing;differential testing,IEEE
Exploiting Multi-Level Parallelism for Run-Time Adaptive Inverse Kinematics on Heterogeneous MPSoCs,L. Suriano; A. Otero; A. Rodríguez; M. Sánchez-Renedo; E. D. La Torre,IEEE Access,2020,8,,118707,118724,,10.1109/ACCESS.2020.3005202,Inverse kinematics;robot arm;nelder-mead;MPSoC;parallelization;hardware acceleration,IEEE
Exploiting Security Dependence for Conditional Speculation Against Spectre Attacks,L. Zhao; P. Li; R. Hou; M. C. Huang; P. Liu; L. Zhang; D. Meng,IEEE Transactions on Computers,2021,70,7,963,978,,10.1109/TC.2020.2997555,Spectre vulnerabilities defense;security dependence;speculative execution side-channel vulnerabilities,IEEE
DC-Patch: A Microarchitectural Fault Patching Technique for GPU Register Files,A. Valero; D. Suárez-Gracia; R. Gran-Tejero,IEEE Access,2020,8,,173276,173288,,10.1109/ACCESS.2020.3025899,Computer architecture;data compression;energy efficiency;fault tolerance;memory management;registers;SRAM cells;vector processors,IEEE
Quality Estimation for Scarce Scenarios Within Mobile Crowdsensing Systems,S. B. Azmy; N. Zorba; H. S. Hassanein,IEEE Internet of Things Journal,2020,7,11,10955,10968,,10.1109/JIOT.2020.2994556,Data quality;Internet of Things (IoT);IoT architectures;IoT-based services;mobile crowdsensing (MCS);small data (SD),IEEE
HOlistic pRocessing and NETworking (HORNET): An Integrated Solution for IoT-Based Fog Computing Services,P. Bellavista; C. Giannelli; D. D. P. Montenero; F. Poltronieri; C. Stefanelli; M. Tortonesi,IEEE Access,2020,8,,66707,66721,,10.1109/ACCESS.2020.2984930,Fog computing;IoT;network softwarization;value-of-information (VoI),IEEE
A Black Box Tool for Robustness Testing of REST Services,N. Laranjeiro; J. Agnelo; J. Bernardino,IEEE Access,2021,9,,24738,24754,,10.1109/ACCESS.2021.3056505,REST;RESTful;web API;web services;robustness testing,IEEE
"<inline-formula><tex-math notation=""LaTeX"">$\pi$</tex-math><alternatives><mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mi>π</mml:mi></mml:math><inline-graphic xlink:href=""liu-ieq1-2984611.gif"" xmlns:xlink=""http://www.w3.org/1999/xlink""/></alternatives></inline-formula>-BA: Bundle Adjustment Hardware Accelerator Based on Distribution of 3D-Point Observations",Q. Liu; S. Qin; B. Yu; J. Tang; S. Liu,IEEE Transactions on Computers,2020,69,7,1083,1095,,10.1109/TC.2020.2984611,Bundle adjustment;SLAM;structure from motion;robotics;hardware acceleration;FPGA,IEEE
EvilScout: Detection and Mitigation of Evil Twin Attack in SDN Enabled WiFi,P. Shrivastava; M. S. Jamal; K. Kataoka,IEEE Transactions on Network and Service Management,2020,17,1,89,102,,10.1109/TNSM.2020.2972774,Software-defined networks (SDN);WiFi security;evil twin attack;duplicate association,IEEE
Web Service Slicing: Intra and Inter-Operational Analysis to Test Changes,A. Chaturvedi; D. Binkley,IEEE Transactions on Services Computing,2021,14,3,930,943,,10.1109/TSC.2018.2821157,Web services;software analysis;program slicing;software maintenance;and testing tools,IEEE
Weakly Supervised Adversarial Learning for 3D Human Pose Estimation from Point Clouds,Z. Zhang; L. Hu; X. Deng; S. Xia,IEEE Transactions on Visualization and Computer Graphics,2020,26,5,1851,1859,,10.1109/TVCG.2020.2973076,Human Pose Estimation;Point Clouds;Depth Map,IEEE
Display Stream Compression Decoders for Fine-Grained Many-Core Processor Arrays,S. Wu; B. M. Baas,IEEE Transactions on Circuits and Systems II: Express Briefs,2021,68,5,1730,1734,,10.1109/TCSII.2021.3068272,Display stream compression (DSC);many-core;real-time;software;video decoder;visually lossless,IEEE
"Disentangling, Embedding and Ranking Label Cues for Multi-Label Image Recognition",Z. -M. Chen; Q. Cui; X. -S. Wei; X. Jin; Y. Guo,IEEE Transactions on Multimedia,2021,23,,1827,1840,,10.1109/TMM.2020.3003779,Multi-label image recognition;deep learning;label correlation;CNNs;disentangling;embedding;ranking,IEEE
Aspect-Specific Heterogeneous Graph Convolutional Network for Aspect-Based Sentiment Classification,K. Xu; H. Zhao; T. Liu,IEEE Access,2020,8,,139346,139355,,10.1109/ACCESS.2020.3012637,Aspect-based sentiment classification (ABSA);heterogeneous graph;graph convolutional network (GCN),IEEE
A Very-Low Pilot Scheme for mmWave Hybrid Massive MIMO-OFDM Systems,F. Han; X. Wang; H. Deng,IEEE Wireless Communications Letters,2021,10,9,2061,2064,,10.1109/LWC.2021.3092073,Hybrid massive MIMO;mmWave;OFDM;semi-blind detection;low-rank matrix completion;compressed-sensing,IEEE
Enabling 3D Ambient Light Positioning with Mobile Phones and Battery-Free Chips,L. Li; P. Xie; J. Wang,IEEE Transactions on Mobile Computing,2021,20,3,952,964,,10.1109/TMC.2019.2956128,Visible light positioning;indoor localization,IEEE
Deep Affinity Network for Multiple Object Tracking,S. Sun; N. Akhtar; H. Song; A. Mian; M. Shah,IEEE Transactions on Pattern Analysis and Machine Intelligence,2021,43,1,104,119,,10.1109/TPAMI.2019.2929520,Multiple object tracking;deep tracking;deep affinity;tracking challenge;on-line tracking,IEEE
"Precision Medicine Informatics: Principles, Prospects, and Challenges",M. Afzal; S. M. Riazul Islam; M. Hussain; S. Lee,IEEE Access,2020,8,,13593,13612,,10.1109/ACCESS.2020.2965955,Precision medicine;bioinformatics;informatics;artificial intelligence;the Internet of Things;big data;clinical decision support;deep learning;machine learning,IEEE
Blockchain-Based Data Collection With Efficient Anomaly Detection for Estimating Battery State-of-Health,R. Jin; B. Wei; Y. Luo; T. Ren; R. Wu,IEEE Sensors Journal,2021,21,12,13455,13465,,10.1109/JSEN.2021.3066785,Electric vehicle;battery charging;state-of-health;anomaly detection;blockchain,IEEE
A Survey of End-to-End Solutions for Reliable Low-Latency Communications in 5G Networks,D. Rico; P. Merino,IEEE Access,2020,8,,192808,192834,,10.1109/ACCESS.2020.3032726,Context awareness;edge computing;high reliability;low latency;multi-connectivity;TCP/IP,IEEE
Attention-Guided Multi-Branch Convolutional Neural Network for Mitosis Detection From Histopathological Images,H. Lei; S. Liu; A. Elazab; X. Gong; B. Lei,IEEE Journal of Biomedical and Health Informatics,2021,25,2,358,370,,10.1109/JBHI.2020.3027566,Mitotic detection;attention mechanism;deep learning,IEEE
SiamCAN: Real-Time Visual Tracking Based on Siamese Center-Aware Network,W. Zhou; L. Wen; L. Zhang; D. Du; T. Luo; Y. Wu,IEEE Transactions on Image Processing,2021,30,,3597,3609,,10.1109/TIP.2021.3060905,Visual tracking;Siamese center-aware network;multi-scale learnable attention,IEEE
PETchain: A Blockchain-Based Privacy Enhancing Technology,I. T. Javed; F. Alharbi; T. Margaria; N. Crespi; K. N. Qureshi,IEEE Access,2021,9,,41129,41143,,10.1109/ACCESS.2021.3064896,Blockchain;Ethereum;privacy enhancing technology;privacy preservation;smartcontract,IEEE
Deep Matrix Factorization for Trust-Aware Recommendation in Social Networks,L. Wan; F. Xia; X. Kong; C. -H. Hsu; R. Huang; J. Ma,IEEE Transactions on Network Science and Engineering,2021,8,1,511,528,,10.1109/TNSE.2020.3044035,Autoencoder;deep learning;matrix factorization;social networks;trust relationship.,IEEE
Pair-Wise Matching of EEG Signals for Epileptic Identification via Convolutional Neural Network,J. Lian; Y. Zhang; R. Luo; G. Han; W. Jia; C. Li,IEEE Access,2020,8,,40008,40017,,10.1109/ACCESS.2020.2976751,Convolution;machine learning;classification algorithms,IEEE
LMDAPNet: A Novel Manifold-Based Deep Learning Network,Y. Li; G. Cao; W. Cao,IEEE Access,2020,8,,65938,65946,,10.1109/ACCESS.2020.2985128,Face recognition;deep learning;feature learning;manifold learning;distance metric;local manifold discriminant analysis projections (LMDAP) algorithm,IEEE
Fast Algorithms for Semantic Association Search and Pattern Mining,G. Cheng; D. Liu; Y. Qu,IEEE Transactions on Knowledge and Data Engineering,2021,33,4,1490,1502,,10.1109/TKDE.2019.2942031,Semantic association search;entity relationship search;frequent tree pattern mining;semantic data summarization,IEEE
Attacks and Defenses in Short-Range Wireless Technologies for IoT,K. Lounis; M. Zulkernine,IEEE Access,2020,8,,88892,88932,,10.1109/ACCESS.2020.2993553,IoT security;Wi-Fi;Bluetooth;ZigBee;RFID;wireless security;wireless IoT;IoT attack classification;wireless security mechanisms;attack-defense trees;attack countermeasures,IEEE
Lung Segmentation-Based Pulmonary Disease Classification Using Deep Neural Networks,S. Z. Y. Zaidi; M. U. Akram; A. Jameel; N. S. Alghamdi,IEEE Access,2021,9,,125202,125214,,10.1109/ACCESS.2021.3110904,Chest x-rays;classification;convolutional neural network;deep learning;pulmonary diseases;segmentation,IEEE
Hyperspectral Recovery from RGB Images using Gaussian Processes,N. Akhtar; A. Mian,IEEE Transactions on Pattern Analysis and Machine Intelligence,2020,42,1,100,113,,10.1109/TPAMI.2018.2873729,Hyperspectral imaging;spectral recovery;gaussian process,IEEE
Cooperative-Evolution-Based WPT Resource Allocation for Large-Scale Cognitive Industrial IoT,L. Sun; L. Wan; K. Liu; X. Wang,IEEE Transactions on Industrial Informatics,2020,16,8,5401,5411,,10.1109/TII.2019.2961659,Cooperative coevolution;large-scale optimization;priority constraint;wireless power transfer (WPT),IEEE
